Word,Alternate Spellings,Syllables,Meaning (Tamil),Meaning (English),Related Words,,
ańńiyamaakku,,,,,,,
ańńiyar,,,,,,,
ańagan,,,,,,,
ańangam,,,,,,,
ańangan,,,,,,,
ańaththam,,,,,,,
ańaththiyayanam,,,,,,,
ańańthasayanan,,,,,,,
ańańtham,,,,,,,
ańabaayan,,,,,,,
ańalam,,,,,,,
ańavaradham,,,,,,,
ańavaradhamum,,,,,,,
ańaagarigam,,,,,,,
ańaachaaram,,,,,,,
ańaadharatchagan,,,,,,,
ańaadhi,,,,,,,
ańaadhai,,,,,,,
ańaamadhaeyan,,,,,,,
ańaamikai,,,,,,,
ańaayagam,,,,,,,
ańaayaasam,,,,,,,
ańaavasiyam,,,,,,,
ańaavirutti,,,,,,,
ańaavirushti,,,,,,,
ańigam,,,,,,,
ańichchai,,,,,,,
ańiththam,,,,,,,
ańiththiyam,,,,,,,
ańiyaayam,,,,,,,
ańilam,,,,,,,
ańeedhi,,,,,,,
ańuggiragam,,,,,,,
ańukaraNavoasai,,,,,,,
ańukoolam,,,,,,,
ańusańdhaanam,,,,,,,
ańusaraNai,,,,,,,
ańusari,,,,,,,
ańusan,,,,,,,
ańuchidham,,,,,,,
ańuttaanam,,,,,,,
ańudhaabam,,,,,,,
ańudhinam,,,,,,,
ańudhinamum,,,,,,,
ańubańdham,,,,,,,
ańupallavi,,,,,,,
ańubavam,,,,,,,
ańubavi,,,,,,,
ańubaanam,,,,,,,
ańuboodhi,,,,,,,
ańumadhi,,,,,,,
ańuman,,,,,,,
ańumaan,,,,,,,
ańumaanam,,,,,,,
ańumaani,,,,,,,
ańuraagam,,,,,,,
ańuloaman,,,,,,,
ańujan,,,,,,,
ańushtaanam,,,,,,,
ańaegam,,,,,,,
ańaegamaaga,,,,,,,
apsarasu,,,,,,,
apdhapoorththi,,,,,,,
apdham,,,,,,,
appachchi,,,,,,,
appattam,,,,,,,
appadi,,,,,,,
appaNai,,,,,,,
appappa,,,,,,,
appappaa,,,,,,,
appam,,,,,,,
appar,,,,,,,
appazhakku,,,,,,,
appaLam,,,,,,,
appaLaam,,,,,,,
appan,,,,,,,
appaa,,,,,,,
appaadaa,,,,,,,
appaadi,,,,,,,
appaal,,,,,,,
appaavi,,,,,,,
appaaRpadu,,,,,,,
abyangam,,,,,,,
abyanganam,,,,,,,
abbiyasi,,,,,,,
abbiyaasam,,,,,,,
appiragam,,,,,,,
appirasiththam,,,,,,,
appiradhatchiNam,,,,,,,
appiraaNi,,,,,,,
appu,,,,,,,
appulingam,,,,,,,
appuRappaduththu,,,,,,,
appuRam,,,,,,,
appoochchikaattu,,,,,,,
appozhudhu,,,,,,,
appoadhu,,,,,,,
appoadhaikkappoadhu,,,,,,,
appoadhaikku,,,,,,,
appoazhdhu,,,,,,,
abakyaadhi,,,,,,,
apakkuvam,,,,,,,
apakkuvan,,,,,,,
abakari,,,,,,,
abakaaram,,,,,,,
abakeerththi,,,,,,,
abasagunam,,,,,,,
abachaaram,,,,,,,
abaththam,,,,,,,
abaththiyam,,,,,,,
abamiruththiyu,,,,,,,
abamiruththu,,,,,,,
abayagaram,,,,,,,
abayadhaanam,,,,,,,
abayappiradhaanam,,,,,,,
abayam,,,,,,,
abayamidu,,,,,,,
abayavaakku,,,,,,,
abayan,,,,,,,
abarakkiriyai,,,,,,,
aparanji,,,,,,,
aparangyaanam,,,,,,,
aparam,,,,,,,
aparaachidhan,,,,,,,
aparaadham,,,,,,,
aparaadhi,,,,,,,
aparaajithan,,,,,,,
aparimidham,,,,,,,
abalai,,,,,,,
abavaadham,,,,,,,
abaakkiyam,,,,,,,
abaaNdam,,,,,,,
abaayachchangili,,,,,,,
abaayachchangu,,,,,,,
abaayam,,,,,,,
abaaram,,,,,,,
apaavam,,,,,,,
abaanam,,,,,,,
abaanan,,,,,,,
abichaaram,,,,,,,
abitegam,,,,,,,
abidhaanam,,,,,,,
abinayam,,,,,,,
abinayi,,,,,,,
abinavam,,,,,,,
abippiraayabaedham,,,,,,,
abippiraayam,,,,,,,
abimaanam,,,,,,,
abimaani,,,,,,,
abiraamam,,,,,,,
abiraaman,,,,,,,
abiraami,,,,,,,
abilaasai,,,,,,,
abilaakshai,,,,,,,
abiviruththi,,,,,,,
abin,,,,,,,
abini,,,,,,,
abishaegam,,,,,,,
abeettam,,,,,,,
abeeshtam,,,,,,,
aboodham,,,,,,,
aboodhavuvamai,,,,,,,
aboobam,,,,,,,
apoorNam,,,,,,,
aboorvam,,,,,,,
apooraNam,,,,,,,
apooruvam,,,,,,,
apaetchagar,,,,,,,
apaetchi,,,,,,,
apaetchai,,,,,,,
abaedham,,,,,,,
abaedhavaadham,,,,,,,
abaedhavaadhi,,,,,,,
apaekshagar,,,,,,,
apaekshi,,,,,,,
apaekshai,,,,,,,
aboachchiyam,,,,,,,
aboadham,,,,,,,
aboajyam,,,,,,,
am,,,,,,,
amsam,,,,,,,
ambagam,,,,,,,
ambaNaththi,,,,,,,
ambaNam,,,,,,,
ambadhai,,,,,,,
ambar,,,,,,,
ambaram,,,,,,,
ambal,,,,,,,
ambalakkaaran,,,,,,,
ambalakkooththan,,,,,,,
ambalachchaavadi,,,,,,,
ambalam,,,,,,,
ambalamaeRu,,,,,,,
ambalavaaNan,,,,,,,
ambaRaaththooNi,,,,,,,
ambaa,,,,,,,
ambaaram,,,,,,,
ambaari,,,,,,,
ambaaL,,,,,,,
ambi,,,,,,,
ambikaapadhi,,,,,,,
ambigai,,,,,,,
ambigaibaagan,,,,,,,
ambu,,,,,,,
ambukkudhai,,,,,,,
ambukkuppi,,,,,,,
ambusam,,,,,,,
ambusaadham,,,,,,,
ambusaadhan,,,,,,,
ambudham,,,,,,,
ambudhi,,,,,,,
ambuyam,,,,,,,
ambuyan,,,,,,,
ambuyai,,,,,,,
amburaasi,,,,,,,
amburugam,,,,,,,
ambuli,,,,,,,
ambulipparuvam,,,,,,,
ambulimaan,,,,,,,
ambuliyammaan,,,,,,,
ambujam,,,,,,,
ambai,,,,,,,
amboa,,,,,,,
amboadharangam,,,,,,,
amboadharam,,,,,,,
amboadhi,,,,,,,
amboarugam,,,,,,,
amboarugan,,,,,,,
amboarugai,,,,,,,
amma,,,,,,,
ammakoa,,,,,,,
ammattil,,,,,,,
ammattu,,,,,,,
ammattukku,,,,,,,
ammaNakkattai,,,,,,,
ammaNaththaar,,,,,,,
ammaNam,,,,,,,
ammaNi,,,,,,,
ammam,,,,,,,
ammamma,,,,,,,
amman,,,,,,,
ammankattu,,,,,,,
ammanai,,,,,,,
ammaa,,,,,,,
ammaa,,,,,,,
ammaachchi,,,,,,,
ammaanji,,,,,,,
ammaadi,,,,,,,
ammaami,,,,,,,
ammaar,,,,,,,
ammaaL,,,,,,,
ammaRu,,,,,,,
ammaan,,,,,,,
ammaanseer,,,,,,,
ammaansaei,,,,,,,
ammaanai,,,,,,,
ammaanaipparuvam,,,,,,,
ammaanaivari,,,,,,,
ammi,,,,,,,
ammikkal,,,,,,,
ammikkuzhavi,,,,,,,
ammai,,,,,,,
ammaikkattu,,,,,,,
ammaikuththal,,,,,,,
ammaiththazhumbu,,,,,,,
ammaippaal,,,,,,,
ammaipoattu,,,,,,,
ammaiyappar,,,,,,,
ammaiyaar,,,,,,,
ammaivaar,,,,,,,
ammaiviLaiyaattu,,,,,,,
amangalam,,,,,,,
amangali,,,,,,,
amangalai,,,,,,,
amasam,,,,,,,
amadu,,,,,,,
amanji,,,,,,,
amaN,,,,,,,
amaNdam,,,,,,,
amaNdalam,,,,,,,
amaNpaazhi,,,,,,,
amaNam,,,,,,,
amaNar,,,,,,,
amaNanpaazhi,,,,,,,
amayam,,,,,,,
amar,,,,,,,
amarkkaLam,,,,,,,
amarththu,,,,,,,
amarvu,,,,,,,
amara,,,,,,,
amaragoasam,,,,,,,
amarasingar,,,,,,,
amarapakkam,,,,,,,
amarapatcham,,,,,,,
amarapaksham,,,,,,,
amaram,,,,,,,
amarar,,,,,,,
amararkoan,,,,,,,
amaraapadhi,,,,,,,
amaraar,,,,,,,
amaraavadhi,,,,,,,
amari,,,,,,,
amarikkai,,,,,,,
amaridham,,,,,,,
amaraesan,,,,,,,
amal,,,,,,,
amalsei,,,,,,,
amaldhaar,,,,,,,
amalam,,,,,,,
amalan,,,,,,,
amalai,,,,,,,
amaLi,,,,,,,
amaLigumaLi,,,,,,,
amaLidhumaLi,,,,,,,
amaLai,,,,,,,
amaaththiyan,,,,,,,
amaavaasai,,,,,,,
amaanaththu,,,,,,,
amaanam,,,,,,,
amisam,,,,,,,
amisai,,,,,,,
amiththiran,,,,,,,
amiththai,,,,,,,
amidham,,,,,,,
amidhavaadhi,,,,,,,
amir,,,,,,,
amirdhakalai,,,,,,,
amirdhakiraNan,,,,,,,
amirdhasanjeevi,,,,,,,
amirdham,,,,,,,
amirdhan,,,,,,,
amiram,,,,,,,
amirudham,,,,,,,
amirudhai,,,,,,,
amildhaar,,,,,,,
amilam,,,,,,,
amizh,,,,,,,
amizhththu,,,,,,,
amizhdham,,,,,,,
amizhdhu,,,,,,,
aminaa,,,,,,,
ameer,,,,,,,
ameen,,,,,,,
ameenaa,,,,,,,
amukkan,,,,,,,
amukku,,,,,,,
amugam,,,,,,,
amungu,,,,,,,
amusu,,,,,,,
amudhakadigai,,,,,,,
amudhakiraNan,,,,,,,
amudhasurabi,,,,,,,
amudham,,,,,,,
amudhar,,,,,,,
amudhavalli,,,,,,,
amudhan,,,,,,,
amudhu,,,,,,,
amudhusei,,,,,,,
amudhupadi,,,,,,,
amudhupadai,,,,,,,
amudhuRai,,,,,,,
amuri,,,,,,,
amul,,,,,,,
amoorththan,,,,,,,
amoorththi,,,,,,,
amoolam,,,,,,,
amendhukottai,,,,,,,
amerikkaa,,,,,,,
amaeththiyam,,,,,,,
amaedhaneekki,,,,,,,
amai,,,,,,,
amaichchagam,,,,,,,
amaichchar,,,,,,,
amaichcharavai,,,,,,,
amaichchan,,,,,,,
amaichchiyal,,,,,,,
amaichuchu,,,,,,,
amaidhi,,,,,,,
amaippu,,,,,,,
amaiyam,,,,,,,
amaivu,,,,,,,
amoagam,,,,,,,
ayyagoa,,,,,,,
ayyangaar,,,,,,,
ayyappaadu,,,,,,,
ayyam,,,,,,,
ayyar,,,,,,,
ayyavi,,,,,,,
ayyan,,,,,,,
ayyanpaazhi,,,,,,,
ayyanaar,,,,,,,
ayyaa,,,,,,,
ayyoa,,,,,,,
ayakkaandham,,,,,,,
ayakkireevan,,,,,,,
ayachchindhooram,,,,,,,
ayaNam,,,,,,,
ayam,,,,,,,
ayar,,,,,,,
ayarchchi,,,,,,,
ayardhi,,,,,,,
ayarppu,,,,,,,
ayarvu,,,,,,,
ayal,,,,,,,
ayalńaadu,,,,,,,
ayalavar,,,,,,,
ayalaan,,,,,,,
ayaluRavu,,,,,,,
ayan,,,,,,,
ayankaNakku,,,,,,,
ayantheervai,,,,,,,
ayanmai,,,,,,,
ayanam,,,,,,,
ayanamaNdalam,,,,,,,
ayaa,,,,,,,
ayaavuyirththal,,,,,,,
ayindhiram,,,,,,,
ayir,,,,,,,
ayiraaNi,,,,,,,
ayiraavaNam,,,,,,,
ayiraavadham,,,,,,,
ayirai,,,,,,,
ayil,,,,,,,
ayiRal,,,,,,,
ayini,,,,,,,
ayinińeer,,,,,,,
ayuktham,,,,,,,
ayuththam,,,,,,,
ayudham,,,,,,,
ayoakkiyadhai,,,,,,,
ayoakkiyam,,,,,,,
ayoakkiyan,,,,,,,
ar,,,,,,,
arkkam,,,,,,,
arkkiyam,,,,,,,
archchagan,,,,,,,
archchanai,,,,,,,
archchi,,,,,,,
archchai,,,,,,,
arththakoaLam,,,,,,,
arththachandhiram,,,,,,,
arththasaaththiram,,,,,,,
arththasaamam,,,,,,,
arththanaasam,,,,,,,
arththańaareesuvaran,,,,,,,
arththaputti,,,,,,,
arththapushti,,,,,,,
arththabaedham,,,,,,,
arththam,,,,,,,
arththamaNdabam,,,,,,,
arththaraaththiri,,,,,,,
arththavaedham,,,,,,,
arththajaamam,,,,,,,
arththaabaththi,,,,,,,
arththaalangaaram,,,,,,,
arppaNam,,,,,,,
arppaNi,,,,,,,
arppi,,,,,,,
ara,,,,,,,
arakkapparakka,,,,,,,
arakkan,,,,,,,
arakki,,,,,,,
arakkinada,,,,,,,
arakku,,,,,,,
arakkumanjaL,,,,,,,
arangańaadhan,,,,,,,
arangam,,,,,,,
arangu,,,,,,,
arangaetRu,,,,,,,
aragaeRu,,,,,,,
arasamaram,,,,,,,
arasamullai,,,,,,,
arasalpurasal,,,,,,,
arasavaagai,,,,,,,
arasavai,,,,,,,
arasan,,,,,,,
arasaangam,,,,,,,
arasaatchi,,,,,,,
arasaaNi,,,,,,,
arasaaL,,,,,,,
arasaakshi,,,,,,,
arasi,,,,,,,
arasidhazh,,,,,,,
arasiyal,,,,,,,
arasiyalkaidhi,,,,,,,
arasiyalsattam,,,,,,,
arasiyalsaasanam,,,,,,,
arasiyalvaadhi,,,,,,,
arasirukkai,,,,,,,
arasiRai,,,,,,,
arasu,,,,,,,
arasukkattil,,,,,,,
arasusei,,,,,,,
arasudaimai,,,,,,,
arasudaimaiyaakku,,,,,,,
arasuvaa,,,,,,,
arattal,,,,,,,
arattan,,,,,,,
arattuppurattu,,,,,,,
arattaiyadi,,,,,,,
araN,,,,,,,
araNmanai,,,,,,,
araNyam,,,,,,,
araNam,,,,,,,
araNi,,,,,,,
araNiyam,,,,,,,
araNai,,,,,,,
araNaippuththi,,,,,,,
araththagam,,,,,,,
araththam,,,,,,,
araththan,,,,,,,
araththai,,,,,,,
aradhanam,,,,,,,
arańdhai,,,,,,,
arappu,,,,,,,
arabi,,,,,,,
aram,,,,,,,
arambu,,,,,,,
arambai,,,,,,,
aramagaL,,,,,,,
aramangai,,,,,,,
aramadandhai,,,,,,,
aramaadhar,,,,,,,
aramiyam,,,,,,,
arayan,,,,,,,
aravakkodiyoan,,,,,,,
aravagiri,,,,,,,
aravanjei,,,,,,,
aravaNińdhoan,,,,,,,
aravaNai,,,,,,,
aravaNaiththal,,,,,,,
aravappagai,,,,,,,
aravam,,,,,,,
aravar,,,,,,,
aravaabaraNan,,,,,,,
aravińdham,,,,,,,
aravińdhan,,,,,,,
aravińdhai,,,,,,,
aravu,,,,,,,
aravuyarththoan,,,,,,,
araL,,,,,,,
araLi,,,,,,,
aratRu,,,,,,,
aran,,,,,,,
arandhoazhan,,,,,,,
araa,,,,,,,
araakkoaL,,,,,,,
araagam,,,,,,,
araasagam,,,,,,,
araańdhaaNam,,,,,,,
araapadham,,,,,,,
araamam,,,,,,,
araami,,,,,,,
araaval,,,,,,,
araavaNai,,,,,,,
araajagam,,,,,,,
ari,,,,,,,
arikaNdam,,,,,,,
arikaNdam paadudhal,,,,,,,
arigarapuththiran,,,,,,,
arigaran,,,,,,,
arigaRaiyaan,,,,,,,
arigaal,,,,,,,
arichchuvadi,,,,,,,
arisam,,,,,,,
arisayam,,,,,,,
arisalam,,,,,,,
arisanam,,,,,,,
arisi,,,,,,,
arisirangu,,,,,,,
arisu,,,,,,,
arittam,,,,,,,
ariNam,,,,,,,
ariNai,,,,,,,
arththai,,,,,,,
aridhagi,,,,,,,
aridham,,,,,,,
aridhaaram,,,,,,,
aridhaaL,,,,,,,
aridhu,,,,,,,
arippariththal,,,,,,,
arippiNaa,,,,,,,
arippu,,,,,,,
arippukkoodai,,,,,,,
arimaNal,,,,,,,
arimaNai,,,,,,,
arimaa,,,,,,,
arimaańoakku,,,,,,,
ariya,,,,,,,
ariyaNai,,,,,,,
ariyaasanam,,,,,,,
ariyaeRu,,,,,,,
aril,,,,,,,
arivari,,,,,,,
arivaaL,,,,,,,
arivaaLmaNai,,,,,,,
arivai,,,,,,,
arishtam,,,,,,,
aru,,,,,,,
arukkam,,,,,,,
arukkan,,,,,,,
arukkiyam,,,,,,,
arugaNmai,,,,,,,
arugadhai,,,,,,,
arugańdhar,,,,,,,
arugam,,,,,,,
arugar,,,,,,,
arugal,,,,,,,
arugan,,,,,,,
arugaamai,,,,,,,
arugil,,,,,,,
arugu,,,,,,,
arungalam,,,,,,,
arungalaivinoadhan,,,,,,,
arungaedan,,,,,,,
arungoadai,,,,,,,
aruchchagan,,,,,,,
aruchchanai,,,,,,,
aruchchi,,,,,,,
aruchchunam,,,,,,,
arunjiRai,,,,,,,
arunjuram,,,,,,,
arutkuRi,,,,,,,
arutsiththi,,,,,,,
arutsoadhi,,,,,,,
aruttu,,,,,,,
arutpaa,,,,,,,
aruNagiri,,,,,,,
aruNam,,,,,,,
aruNan,,,,,,,
aruNaachalam,,,,,,,
aruNoadhayam,,,,,,,
aruththańool,,,,,,,
aruththam,,,,,,,
aruththaabaththi,,,,,,,
aruththi,,,,,,,
aruththu,,,,,,,
aruńdhadhi,,,,,,,
aruńdhal,,,,,,,
aruńdhu,,,,,,,
aruńilam,,,,,,,
aruńizhal,,,,,,,
aruńelli,,,,,,,
aruńeRi,,,,,,,
aruppam,,,,,,,
arum,,,,,,,
arumbadhavurai,,,,,,,
arumbar,,,,,,,
arumbaavi,,,,,,,
arumpinju,,,,,,,
arumbiNi,,,,,,,
arumbu,,,,,,,
arumbeRal,,,,,,,
arumańdha,,,,,,,
arumańdhanna,,,,,,,
arumaruńdhu,,,,,,,
arumai,,,,,,,
aruvam,,,,,,,
aruvar,,,,,,,
aruvaru,,,,,,,
aruvan,,,,,,,
aruvaańaadu,,,,,,,
aruvi,,,,,,,
aruvuru,,,,,,,
aruvuruvam,,,,,,,
aruL,,,,,,,
aruLvaakku,,,,,,,
aruLaaLan,,,,,,,
aruLichchei,,,,,,,
aruLichcheyal,,,,,,,
aroobam,,,,,,,
aroobi,,,,,,,
arai,,,,,,,
araikkachchu,,,,,,,
araikkaal,,,,,,,
araikkeerai,,,,,,,
araigal,,,,,,,
araiguRai,,,,,,,
araichchattai,,,,,,,
araisan,,,,,,,
araisu,,,,,,,
araingyaan,,,,,,,
araińaa,,,,,,,
araińaaN,,,,,,,
araińaaL,,,,,,,
araippattigai,,,,,,,
araippu,,,,,,,
araippuLLi,,,,,,,
araiyar,,,,,,,
araiyalan,,,,,,,
araiyan,,,,,,,
araiyaappu,,,,,,,
araiyiRudhi,,,,,,,
araivaekkaadu,,,,,,,
al,,,,,,,
algal,,,,,,,
algaa,,,,,,,
algu,,,,,,,
algul,,,,,,,
alpam,,,,,,,
alla,,,,,,,
allangaadi,,,,,,,
alladhu,,,,,,,
alladhooum,,,,,,,
alladhai,,,,,,,
allam,,,,,,,
allal,,,,,,,
allavaa,,,,,,,
allavai,,,,,,,
allana,,,,,,,
allaa,,,,,,,
allaattam,,,,,,,
alladu,,,,,,,
allaadudhal,,,,,,,
allaaththal,,,,,,,
allaamal,,,,,,,
allaal,,,,,,,
alli,,,,,,,
alliyam,,,,,,,
alliruL,,,,,,,
allum pagalum,,,,,,,
alloalakalloalam,,,,,,,
alvazhi,,,,,,,
alvazhippuNarchchi,,,,,,,
alvaa,,,,,,,
ala,,,,,,,
alakkaN,,,,,,,
alakkazhi,,,,,,,
alakkaaga,,,,,,,
alakku,,,,,,,
alagidu,,,,,,,
alagu,,,,,,,
alagupanai,,,,,,,
alagai,,,,,,,
alagaiththaer,,,,,,,
alangam,,,,,,,
alangamalanga,,,,,,,
alangari,,,,,,,
alangaaram,,,,,,,
alangu,,,,,,,
alangoalam,,,,,,,
alachchai,,,,,,,
alasal,,,,,,,
alasu,,,,,,,
alatchiyam,,,,,,,
alattu,,,,,,,
alatthagam,,,,,,,
alam,,,,,,,
alambu,,,,,,,
alamaral,,,,,,,
alamaa,,,,,,,
alamaappu,,,,,,,
alamaari,,,,,,,
alar,,,,,,,
Alarkadhir,,,,,,,
alarththal,,,,,,,
alari,,,,,,,
alavan,,,,,,,
alavai,,,,,,,
alatRu,,,,,,,
alaRal,,,,,,,
alaRiyadiththukkoNdu,,,,,,,
alaRippudaiththukkoNdu,,,,,,,
alaRu,,,,,,,
alakshiyam,,,,,,,
alajjai,,,,,,,
alaakkaaga,,,,,,,
alaadhi,,,,,,,
alaayudhan,,,,,,,
alaarippu,,,,,,,
ali, ,,,,,,
alimaram,,,,,,,
aliyezhuththu,,,,,,,
aleegan,,,,,,,
alu,,,,,,,
alungu,,,,,,,
aluminiyam,,,,,,,
aluval,,,,,,,
aluvalagam,,,,,,,
aluvalagar,,,,,,,
alai,,,,,,,
alaikkazhi,,,,,,,
alaichchal,,,,,,,
alaidhaadi,,,,,,,
alaipaay,,,,,,,
alaimagaL,,,,,,,
alaimoadhu,,,,,,,
alaiyal,,,,,,,
alaivarisai,,,,,,,
alaivaay,,,,,,,
alaivu,,,,,,,
aloagam,,,,,,,
av,,,,,,,
avyaktham,,,,,,,
avva,,,,,,,
avvadhu,,,,,,,
avvappoadhu,,,,,,,
avvayin,,,,,,,
avvavar,,,,,,,
avvazhi,,,,,,,
avvaLavaaga,,,,,,,
avvaLavu,,,,,,,
avvaLavudhaan,,,,,,,
avvaaRu,,,,,,,
avviththal,,,,,,,
avviyam,,,,,,,
avvai,,,,,,,
avakkaedu,,,,,,,
avagadhi,,,,,,,
avagaasam,,,,,,,
avagaesi,,,,,,,
avakaedu,,,,,,,
avachchuzhi,,,,,,,
avachchol,,,,,,,
avasagunam,,,,,,,
avasam,,,,,,,
avasarakkudukkai,,,,,,,
avasarakkoalam,,,,,,,
avasarachchattam,,,,,,,
avasarasigichchai,,,,,,,
avasarappadu,,,,,,,
avasaram,,,,,,,
avasiyam,,,,,,,
avaN,,,,,,,
avaththuRai,,,,,,,
avaththai,,,,,,,
avadharaNam,,,,,,,
avadhari,,,,,,,
avadhaaram,,,,,,,
avadhaarigai,,,,,,,
avadhaanam,,,,,,,
avadhaani,,,,,,,
avadhi,,,,,,,
avadhippadu,,,,,,,
avadhoodhan,,,,,,,
avadhooRu,,,,,,,
avańdharai,,,,,,,
avańdhan,,,,,,,
avańdhi,,,,,,,
avańdhigai,,,,,,,
avańambikkai,,,,,,,
avańudhi,,,,,,,
avappaer,,,,,,,
avappozhudhu,,,,,,,
avam,,,,,,,
avamadhi,,,,,,,
avamariyaadhai,,,,,,,
avamaanam,,,,,,,
avayakkoazhi,,,,,,,
avayangaaththal,,,,,,,
avayam,,,,,,,
avayavam,,,,,,,
avayavi,,,,,,,
avar,,,,,,,
avargaL,,,,,,,
avarvayinvidhumbal,,,,,,,
avarai,,,,,,,
avaroagaNam,,,,,,,
aval,,,,,,,
avalachchuvai,,,,,,,
avalachchuzhi,,,,,,,
avalatchaNam,,,,,,,
avalam,,,,,,,
avalambi,,,,,,,
avalakshaNam,,,,,,,
avali,,,,,,,
avaL,,,,,,,
avan,,,,,,,
avani,,,,,,,
avaniban,,,,,,,
avaśthai,,,,,,,
avaa,,,,,,,
avaańdharam,,,,,,,
avaayńilai,,,,,,,
avaavaRuththal,,,,,,,
avaavaamai,,,,,,,
avaavinmai,,,,,,,
avaavu,,,,,,,
avi,,,,,,,
avigaaram,,,,,,,
avichchai,,,,,,,
avisal,,,,,,,
avisu,,,,,,,
avittam,,,,,,,
avińayasaalai,,,,,,,
avińayam,,,,,,,
avińayar,,,,,,,
avińaasam,,,,,,,
avippali,,,,,,,
avibaktha,,,,,,,
avyal,,,,,,,
avir,,,,,,,
avirppaagam,,,,,,,
avirmadhi,,,,,,,
aviroLi,,,,,,,
avildhaar,,,,,,,
avivaegam,,,,,,,
avivaegi,,,,,,,
avizh,,,,,,,
avinayam,,,,,,,
avinaasi,,,,,,,
avuNan,,,,,,,
avudhaa,,,,,,,
avuri,,,,,,,
avuldhaar,,,,,,,
avai,,,,,,,
avaikkaLam,,,,,,,
avaiththalaivar,,,,,,,
avaimunnavar,,,,,,,
avaiyadakkam,,,,,,,
avaiyadakku,,,,,,,
avaiyaththaar,,,,,,,
avaiyam,,,,,,,
avaiyal,,,,,,,
avaiyalkiLavi,,,,,,,
avaiyaRidhal,,,,,,,
azhagar,,,,,,,
azhagan,,,,,,,
azhagi,,,,,,,
azhagidhu,,,,,,,
azhagu,,,,,,,
azhagukaattu,,,,,,,
azhagusaadhanam,,,,,,,
azhal,,,,,,,
azhalai,,,,,,,
azhaRkaNNan,,,,,,,
azhaRkadhir,,,,,,,
azhaRkaay,,,,,,,
azhaRchi,,,,,,,
azhan,,,,,,,
azhi,,,,,,,
azhichchaattam,,,,,,,
azhichchaattiyam,,,,,,,
azhithagavu,,,,,,,
azhidhanmaalai,,,,,,,
azhippaan,,,,,,,
azhipasi,,,,,,,
azhipadar,,,,,,,
azhipadudhal,,,,,,,
azhipaadu,,,,,,,
