english,tamil,syllables
a,அ,1
a aa,அ ஆ,2
ahkam,அஃகம்,3
ahkal,அஃகல்,3
ahkaamai,அஃகாமை,3
ahkaan,அஃகான்,3
ahkiya aRivu,அஃகிய அறிவு,6
ahku,அஃகு,2
ahkudhal,அஃகுதல்,4
ahgaenam,அஃகேனம்,4
ahdhaandRu,அஃதான்ன்று,3
ahdhu,அஃது,2
ahdhae,அஃதே,2
ahdhai,அஃதை,2
ahpoadham,அஃபோதம்,4
ahRiNai,அஃறிணை,3
akkakkaay,அக்கக்காய்,4
akkasaalai,அக்கசாலை,4
akkasaalaiyar,அக்கசாலையர்,6
akkada,அக்கட,3
akkadaa,அக்கடா,3
akkadaavendRu,அக்கடாவென்ன்று,5
akkadhai,அக்கதை,3
akkappoar,அக்கப்போர்,4
akkam,அக்கம்,3
akkampakkam,அக்கம்பக்கம்,5
akkamaNi,அக்கமணி,4
akkamaalai,அக்கமாலை,4
akkarachchudhagam,அக்கரச்சுதகம்,7
akkaram,அக்கரம்,4
akkarai,அக்கரை,3
akkaraichcheemai,அக்கரைச்சீமை,5
akkaraippachai,அக்கரைப்பசை,5
akkaraippadu,அக்கரைப்படு,5
akkaRai,அக்கறை,3
akkaRaippadu,அக்கறைப்படு,5
akkaa,அக்கா,2
akkaakkaay,அக்காக்காய்,4
akkaaram,அக்காரம்,4
akkaaravadisal,அக்காரவடிசல்,7
akkaaL,அக்காள்,3
aggirapoojai,அக்கிரபூஜை,5
akkiramam,அக்கிரமம்,5
akkiraasanam,அக்கிராசனம்,6
akkiraasanar,அக்கிராசனர்,6
akkiraajanaadhipadhi,அக்கிராஜனாதிபதி,8
akkilu,அக்கிலு,3
akkiL,அக்கிள்,3
aggini,அக்கினி,3
agginikkiriyai,அக்கினிக்கிரியை,6
agginikkuNdam,அக்கினிக்குண்டம்,6
agginisaatchi,அக்கினிசாட்சி,5
agginithambam,அக்கினிதம்பம்,6
agginithamban,அக்கினிதம்பன்,6
agginithirayam,அக்கினிதிரயம்,7
agginiththraavagam,அக்கினித்த்ராவகம்,7
agginiththisai,அக்கினித்திசை,5
agginiththaevan,அக்கினித்தேவன்,6
aggininatchathiram,அக்கினினட்சதிரம்,8
agginivaaganam,அக்கினிவாகனம்,7
akkuththu,அக்குத்து,3
akkuroaNi,அக்குரோணி,4
akkuL,அக்குள்,3
agńikriyai,அக்நிக்ரியை,4
agńikuNdam,அக்நிகுண்டம்,5
agńisaatchi,அக்நிசாட்சி,4
agńiththambam,அக்நித்தம்பம்,5
agńiththamban,அக்நித்தம்பன்,5
agńiththambanam,அக்நித்தம்பனம்,6
agńiththirayam,அக்நித்திரயம்,6
agńithrayam,அக்நித்ரயம்,5
agńidhisai,அக்நிதிசை,4
agńidhiraavagam,அக்நிதிராவகம்,7
agńidhaevan,அக்நிதேவன்,5
agńińakshathram,அக்நிநக்ஷத்ரம்,6
agńińatchaththiram,அக்நிநட்சத்திரம்,7
agńipravaesam,அக்நிப்ரவேசம்,6
agńivaaganam,அக்நிவாகனம்,6
agńivaahanam,அக்நிவாஹனம்,6
akrapoojai,அக்ரபூஜை,4
akramam,அக்ரமம்,4
agrahaaram,அக்ரஹாரம்,5
agraasanam,அக்ராசனம்,5
agraasanar,அக்ராசனர்,5
agraajanaadhipadhi,அக்ராஜனாதிபதி,7
akruthyam,அக்ருத்யம்,4
agakkaN,அகக்கண்,4
agakkaazh,அகக்காழ்,4
agangari,அகங்கரி,4
agangaaram,அகங்காரம்,5
agangaari,அகங்காரி,4
agangaazh,அகங்காழ்,4
agangai,அகங்கை,3
agachchuttu,அகச்சுட்டு,4
agasiyam,அகசியம்,5
agasu,அகசு,3
agadam,அகடம்,4
agadavigadam,அகடவிகடம்,7
agadithagadanaa,அகடிதகடனா,7
agaditham,அகடிதம்,5
agadiyam,அகடியம்,5
agadu,அகடு,3
agadoori,அகடூரி,4
agaNdakaavaeri,அகண்டகாவேரி,6
agaNdadheepam,அகண்டதீபம்,6
agaNdaparipooraNam,அகண்டபரிபூரணம்,9
agaNdam,அகண்டம்,4
agaNdaakaaram,அகண்டாகாரம்,6
agandi,அகன்டி,3
agaththadimai,அகத்தடிமை,5
agaththadiyaaL,அகத்தடியாள்,6
agaththi,அகத்தி,3
agaththiNai,அகத்திணை,4
agaththiyam,அகத்தியம்,5
agaththiyan,அகத்தியன்,5
agaththuRuppu,அகத்துறுப்பு,5
agaththuRai,அகத்துறை,4
agadhan,அகதன்,4
agadhi,அகதி,3
agańdhai,அகந்தை,3
agańagar,அகநகர்,5
agańagai,அகநகை,4
agańaanooRu,அகநானூறு,5
agappagai,அகப்பகை,4
agappadu,அகப்படு,4
agappaNi,அகப்பணி,4
agappatRu,அகப்பற்று,4
agappaa,அகப்பா,3
agappaattu,அகப்பாட்டு,4
agappu,அகப்பு,3
agappai,அகப்பை,3
agapporul,அகப்பொருல்,5
agam,அகம்,3
agampadiyaar,அகம்படியார்,6
agambaavam,அகம்பாவம்,5
agamudaiyaaL,அகமுடையாள்,6
agamudaiyaan,அகமுடையான்,6
agar,அகர்,3
agarNam,அகர்ணம்,4
agarńisam,அகர்நிசம்,5
agarmaNi,அகர்மணி,4
agarmugam,அகர்முகம்,5
agaram,அகரம்,4
agaraadhi,அகராதி,4
agaru,அகரு,3
agal,அகல்,3
agalakkavi,அகலக்கவி,5
agalakkaal vai,அகலக்கால் வை,5
agalam,அகலம்,4
agalavurai,அகலவுரை,5
agalidam,அகலிடம்,5
agavadi,அகவடி,4
agaval,அகவல்,4
agavaloasai,அகவலோசை,5
agavaRpaa,அகவற்பா,4
agavanmagaL,அகவன்மகள்,6
agavidhazh,அகவிதழ்,5
agaviruL,அகவிருள்,5
agavilai,அகவிலை,4
agavu,அகவு,3
agavai,அகவை,3
agazh,அகழ்,3
agazhi,அகழி,3
agazheli,அகழெலி,4
agaLangam,அகளங்கம்,5
agaLangan,அகளங்கன்,5
agaLam,அகளம்,4
agaRchi,அகற்சி,3
agatRu,அகற்று,3
agandRil,அகன்ன்றில்,4
aganaińdhiNai,அகனைந்திணை,5
agaadham,அகாதம்,4
akaaraNam,அகாரணம்,5
akaaraNan,அகாரணன்,5
akaaram,அகாரம்,4
akaariyam,அகாரியம்,5
akaalaboajanam,அகாலபோஜனம்,7
akaalamaraNam,அகாலமரணம்,7
akaalam,அகாலம்,4
aki,அகி,2
akithalam,அகிதலம்,5
akipadhi,அகிபதி,4
agimsai,அகிம்சை,3
akiruththiyam,அகிருத்தியம்,6
agil,அகில்,3
agilam,அகிலம்,4
agilaaNdam,அகிலாண்டம்,5
agai,அகை,2
agoaram,அகோரம்,4
agoaran,அகோரன்,4
agoaraaththiram,அகோராத்திரம்,6
agowravam,அகொளரவம்,5
angageenam,அங்ககீனம்,5
angageenan,அங்ககீனன்,5
angasan,அங்கசன்,4
angasaettai,அங்கசேட்டை,4
angaN,அங்கண்,3
angaNam,அங்கணம்,4
angaNan,அங்கணன்,4
angaththavar,அங்கத்தவர்,5
angaththinar,அங்கத்தினர்,5
angadhachcheyyuL,அங்கதச்செய்யுள்,6
angadham,அங்கதம்,4
angappiradhatchiNam,அங்கப்பிரதட்சிணம்,8
angapradhakshiNam,அங்கப்ரதக்ஷிணம்,7
angam,அங்கம்,3
angamaalai,அங்கமாலை,4
angalaay,அங்கலாய்,4
angavadi,அங்கவடி,4
angavaththiram,அங்கவத்திரம்,6
angavasthiram,அங்கவச்திரம்,6
angaviyal,அங்கவியல்,5
angaveenam,அங்கவீனம்,5
angaveenan,அங்கவீனன்,5
anganai,அங்கனை,3
angaheenam,அங்கஹீனம்,5
angaheenan,அங்கஹீனன்,5
angaa,அங்கா,2
angaadi,அங்காடி,3
angaadikkooli,அங்காடிக்கூலி,5
angaadippaattam,அங்காடிப்பாட்டம்,6
angaappu,அங்காப்பு,3
angaaragan,அங்காரகன்,5
angi,அங்கி,2
angigaaram,அங்கிகாரம்,5
angiyangadavuL,அங்கியங்கடவுள்,7
angeegaraNam,அங்கீகரணம்,6
angeegari,அங்கீகரி,4
angeegariththal,அங்கீகரித்தல்,6
angeegaaram,அங்கீகாரம்,5
angu,அங்கு,2
angusapaaNi,அங்குசபாணி,5
angus,அங்குச்,3
anguttam,அங்குட்டம்,4
anguththai,அங்குத்தை,3
anguram,அங்குரம்,4
anguraarppaNam,அங்குரார்ப்பணம்,6
anguri,அங்குரி,3
angulam,அங்குலம்,4
anguli,அங்குலி,3
anguligam,அங்குலிகம்,5
anguliyam,அங்குலியம்,5
angushtam,அங்குஷ்டம்,4
angae,அங்கே,2
angai,அங்கை,2
angnganam,அன்க்ங்கனம்,4
achchagam,அச்சகம்,4
achchadi,அச்சடி,3
achchadaiyaaLam,அச்சடையாளம்,6
achcham,அச்சம்,3
achchamaadal,அச்சமாடல்,5
achchan,அச்சன்,3
achchaaNi,அச்சாணி,3
achchaaram,அச்சாரம்,4
achchaaniyam,அச்சானியம்,5
achichiram,அசிசிரம்,5
achchu,அச்சு,2
achuchukkattu,அசுசுக்கட்டு,5
achchukkoodam,அச்சுக்கூடம்,5
achuchudhan,அசுசுதன்,5
achuchulakkai,அசுசுலக்கை,5
achchuvini,அச்சுவினி,4
achchuvinithaevar,அச்சுவினிதேவர்,7
achchuRu,அச்சுறு,3
achchuRuththu,அச்சுறுத்து,4
achchena,அச்சென,3
achchoa,அச்சோ,2
asakku,அசக்கு,3
asagaayasooran,அசகாயசூரன்,7
asangadham,அசங்கதம்,5
asangiyam,அசங்கியம்,5
asangu,அசங்கு,3
asanjalam,அசஞ்சலம்,5
asattan,அசட்டன்,4
asattai,அசட்டை,3
asadan,அசடன்,4
asaduthattu,அசடுதட்டு,5
asaduvazhi,அசடுவழி,5
asaththiyam,அசத்தியம்,5
asaththu,அசத்து,3
asadhi,அசதி,3
asadhiyaadu,அசதியாடு,5
asandharppam,அசந்தர்ப்பம்,5
asappiyam,அசப்பியம்,5
asappu,அசப்பு,3
asam,அசம்,3
asambaavidham,அசம்பாவிதம்,6
asambiraetchiyam,அசம்பிரேட்சியம்,7
asambiraetchiya kaariyaththuvam,அசம்பிரேட்சிய காரியத்துவம்,12
asamanjan,அசமஞ்சன்,5
asamandham,அசமந்தம்,5
asamam,அசமம்,4
asardhal,அசர்தல்,4
asarappodu,அசரப்பொடு,5
asaram,அசரம்,4
asareeri,அசரீரி,4
asal,அசல்,3
asalakkaal,அசலக்கால்,5
asalam,அசலம்,4
asalan,அசலன்,4
asalai,அசலை,3
asaRpiradhi,அசற்பிரதி,5
asan,அசன்,3
asanam,அசனம்,4
asanavaedhi,அசனவேதி,5
asani,அசனி,3
ajaakkiradhai,அஜாக்கிரதை,5
asaaththiyam,அசாத்தியம்,5
asaadhaaraNam,அசாதாரணம்,6
asaavaamai,அசாவாமை,4
asaavidu,அசாவிடு,4
asaavu,அசாவு,3
asaavaeri,அசாவேரி,4
asi,அசி,2
asingam,அசிங்கம்,4
asiththu,அசித்து,3
aseerththi,அசீர்த்தி,3
ajeeraNam,அஜீரணம்,5
asusi,அசுசி,3
asuNam,அசுணம்,4
asuththam,அசுத்தம்,4
asuththi,அசுத்தி,3
asubakkiriyai,அசுபக்கிரியை,6
asubam,அசுபம்,4
asumbu,அசும்பு,3
asumaanagiri,அசுமானகிரி,6
asurakruthyam,அசுரக்ருத்யம்,6
asurakiruththiyam,அசுரகிருத்தியம்,8
asurańaaL,அசுரநாள்,5
asuram,அசுரம்,4
asuramaNam,அசுரமணம்,6
asuramandhiri,அசுரமந்திரி,6
asurar,அசுரர்,4
asuravaiththiyam,அசுரவைத்தியம்,7
asuvagadhi,அசுவகதி,5
asuvagandhi,அசுவகந்தி,5
asuvasaaththiram,அசுவசாத்திரம்,7
asuvasaalai,அசுவசாலை,5
asuvaththam,அசுவத்தம்,5
asuvappareetchai,அசுவப்பரீட்சை,6
asuvam,அசுவம்,4
asuvaarasiyam,அசுவாரசியம்,7
asuvini,அசுவினி,4
asuvinidhaevar,அசுவினிதேவர்,7
asuzham,அசுழம்,4
asooyai,அசூயை,3
asaedhanam,அசேதனம்,5
asai,அசை,2
asaiyi,அசையி,3
asaiyiyadhu,அசையியது,5
asaichcheer,அசைச்சீர்,4
asaichchol,அசைச்சொல்,4
asaińilai,அசைநிலை,4
asaippu,அசைப்பு,3
asaipoadudhal,அசைபோடுதல்,6
asaiyaapporuL,அசையாப்பொருள்,6
asaiyaamaNi,அசையாமணி,5
asaiyidudhal,அசையிடுதல்,6
asaiyum poruL,அசையும் பொருள்,6
asaivam,அசைவம்,4
asaivinmai,அசைவின்மை,4
asaivu,அசைவு,3
asoagam,அசோகம்,4
asoagu,அசோகு,3
asowkkiyam,அசொளக்கியம்,5
asowgariyam,அசொளகரியம்,6
asowcham,அசொளசம்,4
anjam,அஞ்சம்,3
anjal,அஞ்சல்,3
anjal kaasoalai,அஞ்சல் காசோலை,5
anjal kuRiyeetten,அஞ்சல் குறியீட்டென்,7
anjal ńilaiyam,அஞ்சல் நிலையம்,6
anjalagam,அஞ்சலகம்,5
anjalattai,அஞ்சலட்டை,4
anjalam,அஞ்சலம்,4
anjalar,அஞ்சலர்,4
anjali,அஞ்சலி,3
anjaligai,அஞ்சலிகை,4
anjaRkaaran,அஞ்சற்காரன்,5
anjaRappetti,அஞ்சறப்பெட்டி,5
anjanakkoal,அஞ்சனக்கோல்,5
anjanachchalaagai,அஞ்சனச்சலாகை,6
anjanam,அஞ்சனம்,4
anjanavaNNan,அஞ்சனவண்ணன்,6
anjanaviththai,அஞ்சனவித்தை,5
anjanaveRpu,அஞ்சனவெற்பு,5
anjani,அஞ்சனி,3
anjanai,அஞ்சனை,3
anjaamai,அஞ்சாமை,3
anjaananam,அஞ்சானனம்,5
anjaananan,அஞ்சானனன்,5
anju,அஞ்சு,2
anjugam,அஞ்சுகம்,4
anjubayam,அஞ்சுபயம்,5
anjumaan,அஞ்சுமான்,4
anjevi,அஞ்செவி,3
anjezhuththu,அஞ்செழுத்து,4
angyngyaadham,அஞ்ஞாதம்,4
angyngyaadhavaasam,அஞ்ஞாதவாசம்,6
angyngyaandRu,அஞ்ஞான்ன்று,3
angyngyaanam,அஞ்ஞானம்,4
angyngyai,அஞ்ஞை,2
angyar,அஞர்,3
atchakkoadu,அட்சக்கோடு,4
atchadhai,அட்சதை,3
atchapaadhan,அட்சபாதன்,5
atcham,அட்சம்,3
atchamaNi,அட்சமணி,4
atchamaalai,அட்சமாலை,4
atchaya,அட்சய,3
atchayathooNi,அட்சயதூணி,5
atchayapaaththiram,அட்சயபாத்திரம்,7
atchayam,அட்சயம்,4
atcharakaNidham,அட்சரகணிதம்,7
atcharam,அட்சரம்,4
atcharaappiyaasam,அட்சராப்பியாசம்,7
atchaamsam,அட்சாம்சம்,4
atchi,அட்சி,2
atsowhiNi,அட்சொளஹிணி,4
attakkaRuppu,அட்டக்கறுப்பு,5
attagaasam,அட்டகாசம்,5
attakoaNam,அட்டகோணம்,5
attasiththi,அட்டசித்தி,4
attaNaikkaal,அட்டணைக்கால்,5
attadhikkayam,அட்டதிக்கயம்,6
ashtadhikkajam,அஷ்டதிக்கஜம்,6
attadhikkuppaalagar,அட்டதிக்குப்பாலகர்,8
attańaagabandham,அட்டநாகபந்தம்,7
attapaadham,அட்டபாதம்,5
attamachchani,அட்டமச்சனி,5
attamam,அட்டமம்,4
attamaasiththi,அட்டமாசித்தி,5
attamaańaagam,அட்டமாநாகம்,6
attami,அட்டமி,3
attamoorththam,அட்டமூர்த்தம்,5
attamoorththi,அட்டமூர்த்தி,4
attal,அட்டல்,3
attalakkumi,அட்டலக்குமி,5
attalatchumi,அட்டலட்சுமி,5
attavaNai,அட்டவணை,4
attavaNaippaduththu,அட்டவணைப்படுத்து,7
attaavadhaanam,அட்டாவதானம்,6
attaavadhaani,அட்டாவதானி,5
atti,அட்டி,2
attigai,அட்டிகை,3
attil,அட்டில்,3
attiRchaalai,அட்டிற்சாலை,4
attu,அட்டு,2
attoozhiyam,அட்டூழியம்,5
attai,அட்டை,2
ada,அட,2
adakkam,அடக்கம்,4
adakkam paNNu,அடக்கம் பண்ணு,5
adakku,அடக்கு,3
adakkumuRai,அடக்குமுறை,5
adagu,அடகு,3
adanga,அடங்க,3
adangal,அடங்கல்,4
adangalan,அடங்கலன்,5
adangalum,அடங்கலும்,5
adangavum,அடங்கவும்,5
adanganmuRai,அடங்கன்முறை,5
adangaappidaari,அடங்காப்பிடாரி,6
adangaamaari,அடங்காமாரி,5
adangu,அடங்கு,3
adadaa,அடடா,3
adathaalam,அடதாலம்,5
adam,அடம்,3
adamaanam,அடமானம்,5
adayoagam,அடயோகம்,5
adar,அடர்,3
adarththi,அடர்த்தி,3
adarppam,அடர்ப்பம்,4
adarvu,அடர்வு,3
adal,அடல்,3
adali,அடலி,3
adalai,அடலை,3
adavi,அடவி,3
adaa,அடா,2
ataaNaa,அடாணா,3
adaadhadhu,அடாதது,4
adaadhu,அடாது,3
adaappazhi,அடாப்பழி,4
adaavadi,அடாவடி,4
adi,அடி,2
adikkadi,அடிக்கடி,4
adikkal,அடிக்கல்,4
adikkeezhppaduththu,அடிக்கீழ்ப்படுத்து,6
adikkoal,அடிக்கோல்,4
adikoal,அடிகோல்,4
adikoalu,அடிகோலு,4
adichchaal,அடிச்சால்,4
adichchi,அடிச்சி,3
adichchiyar,அடிச்சியர்,5
adichcheeppu,அடிச்சீப்பு,4
adichchuvadu,அடிச்சுவடு,5
adisil,அடிசில்,4
adichiRpuRam,அடிசிற்புறம்,6
adichitRaLi,அடிசிற்றளி,5
adiththal,அடித்தல்,4
adiththalam,அடித்தலம்,5
adiththaLam,அடித்தளம்,5
adiththukkooRu,அடித்துக்கூறு,5
adiththukkoNdu poa,அடித்துக்கொண்டு போ,6
adiththuppidiththu,அடித்துப்பிடித்து,6
adiththozhil,அடித்தொழில்,5
adiththoazhi,அடித்தோழி,4
adidhadi,அடிதடி,4
adithodu,அடிதொடு,4
adińaa,அடிநா,3
adińaaL,அடிநாள்,4
adińilai,அடிநிலை,4
adippadu,அடிப்படு,4
adippaduththu,அடிப்படுத்து,5
adippadai,அடிப்படை,4
adippaNi,அடிப்பணி,4
adipadu,அடிபடு,4
adipaNi,அடிபணி,4
adipiRakkidu,அடிபிறக்கிடு,6
adipeyar,அடிபெயர்,5
adipoadu,அடிபோடு,4
adimattam,அடிமட்டம்,5
adimadi,அடிமடி,4
adimaRimaNdilam,அடிமறிமண்டிலம்,8
adimaRimaatRu,அடிமறிமாற்று,6
adimanam,அடிமனம்,5
adimaattuvilai,அடிமாட்டுவிலை,6
adimaadu,அடிமாடு,4
adimuttaaL,அடிமுட்டாள்,5
adimudi,அடிமுடி,4
adimuraN,அடிமுரண்,5
adimai,அடிமை,3
adimoanai,அடிமோனை,4
adiyadiyaaga,அடியடியாக,6
adiyańdhaadhi,அடியந்தாதி,5
adiyavan,அடியவன்,5
adiyaLapedai,அடியளபெடை,6
adiyanaen,அடியனேன்,5
adiyaan,அடியான்,4
adiyidu,அடியிடு,4
adiyiyaibu,அடியியைபு,5
adiyuram,அடியுரம்,5
adiyuRai,அடியுறை,4
adiyeduththuvai,அடியெடுத்துவை,6
adiyedhugai,அடியெதுகை,5
adiyaen,அடியேன்,4
adiyotRu,அடியொற்று,4
adiyoadu,அடியோடு,4
adivarudi,அடிவருடி,5
adivaangu,அடிவாங்கு,4
adivaaram,அடிவாரம்,5
adivaanam,அடிவானம்,5
adu,அடு,2
adukkam,அடுக்கம்,4
adukkal,அடுக்கல்,4
adukkaLai,அடுக்களை,4
adukku,அடுக்கு,3
adukkuththodar,அடுக்குத்தொடர்,6
adukkumeththai,அடுக்குமெத்தை,5
adukkuL,அடுக்குள்,4
adukalam,அடுகலம்,5
adukalan,அடுகலன்,5
adukaLam,அடுகளம்,5
adugai,அடுகை,3
aduththa,அடுத்த,3
aduththaduththu,அடுத்தடுத்து,5
aduththamuRai,அடுத்தமுறை,5
aduththu,அடுத்து,3
aduththuvaral,அடுத்துவரல்,6
aduppangarai,அடுப்பங்கரை,5
aduppu,அடுப்பு,3
adae,அடே,2
adaeyappaa,அடேயப்பா,4
adai,அடை,2
adaikkalanguruvi,அடைக்கலங்குருவி,7
adaikkalam,அடைக்கலம்,5
adaikkalaanguruvi,அடைக்கலாங்குருவி,7
adaikkaay,அடைக்காய்,4
adaigal,அடைகல்,4
adaigaa,அடைகா,3
adaigaay,அடைகாய்,4
adaiththuppei,அடைத்துப்பெஇ,5
adaińdhaar,அடைந்தார்,4
adaippakkaaran,அடைப்பக்காரன்,6
adaippam,அடைப்பம்,4
adaippaan,அடைப்பான்,4
adaippu,அடைப்பு,3
adaippai,அடைப்பை,3
adaimazhai,அடைமழை,4
adaimaanam,அடைமானம்,5
adaimozhi,அடைமொழி,4
adaiya,அடைய,3
adaiyal,அடையல்,4
adaiyalar,அடையலர்,5
adaiyaadhaar,அடையாதார்,5
adaiyaaLa attai,அடையாள அட்டை,6
adaiyaaLam,அடையாளம்,5
adaivu,அடைவு,3
aN,அண்,2
aNdakkattu,அண்டக்கட்டு,4
aNdakadaagam,அண்டகடாகம்,6
aNdagoasam,அண்டகோசம்,5
aNdakoaLagai,அண்டகோளகை,5
aNdakoaLam,அண்டகோளம்,5
aNdangaakkai,அண்டங்காக்கை,4
aNdasam,அண்டசம்,4
aNdarappurattan,அண்டரப்புரட்டன்,7
aNdappuLugan,அண்டப்புளுகன்,6
aNdapahiraNdam,அண்டபஹிரண்டம்,7
aNdam,அண்டம்,3
aNdayoani,அண்டயோனி,4
aNdar,அண்டர்,3
aNdalar,அண்டலர்,4
aNdavaaNar,அண்டவாணர்,5
aNdajam,அண்டஜம்,4
aNdaa,அண்டா,2
aNdaar,அண்டார்,3
aNdimaaNdu,அண்டிமாண்டு,4
aNdinavan,அண்டினவன்,5
aNdu,அண்டு,2
aNdai,அண்டை,2
aNdaiyayal,அண்டையயல்,5
aNNańdhaaL,அண்ணந்தாள்,4
aNNam,அண்ணம்,3
aNNal,அண்ணல்,3
aNNan,அண்ணன்,3
aNNaa,அண்ணா,2
aNNaakku,அண்ணாக்கு,3
aNNaaththal,அண்ணாத்தல்,4
aNNaaththai,அண்ணாத்தை,3
aNNaańdhaaL,அண்ணாந்தாள்,4
aNNaańdhupaar,அண்ணாந்துபார்,5
aNNaar,அண்ணார்,3
aNNaavi,அண்ணாவி,3
aNNi,அண்ணி,2
aNNippaan,அண்ணிப்பான்,4
aNNu,அண்ணு,2
aNbal,அண்பல்,3
aNbu,அண்பு,2
aNmu,அண்மு,2
aNmai,அண்மை,2
aNmaichchuttu,அண்மைச்சுட்டு,4
aNmaiviLi,அண்மைவிளி,4
aNa,அண,2
aNangaadu,அணங்காடு,4
aNangu,அணங்கு,3
aNal,அணல்,3
aNavu,அணவு,3
aNavudhal,அணவுதல்,5
aNaa,அணா,2
aNi,அணி,2
aNikalachcheppu,அணிகலச்செப்பு,6
aNikalam,அணிகலம்,5
aNikalan,அணிகலன்,5
aNiththu,அணித்து,3
aNińdhurai,அணிந்துரை,4
aNimaa,அணிமா,3
aNimai,அணிமை,3
aNiyam,அணியம்,4
aNiyal,அணியல்,4
aNiyan,அணியன்,4
aNiyilakkaNam,அணியிலக்கணம்,7
aNiyiyal,அணியியல்,5
aNil,அணில்,3
